date,urate,year,month
7/1/13,7.3,2013,7
8/1/13,7.2,2013,8
9/1/13,7.2,2013,9
10/1/13,7.2,2013,10
11/1/13,6.9,2013,11
12/1/13,6.7,2013,12
1/1/14,6.6,2014,1
2/1/14,6.7,2014,2
3/1/14,6.7,2014,3
4/1/14,6.2,2014,4
5/1/14,6.3,2014,5
6/1/14,6.1,2014,6
7/1/14,6.2,2014,7
8/1/14,6.1,2014,8
9/1/14,5.9,2014,9
10/1/14,5.7,2014,10
11/1/14,5.8,2014,11
12/1/14,5.6,2014,12
1/1/15,5.7,2015,1
2/1/15,5.5,2015,2
3/1/15,5.4,2015,3
4/1/15,5.4,2015,4
5/1/15,5.6,2015,5
6/1/15,5.3,2015,6
7/1/15,5.2,2015,7
8/1/15,5.1,2015,8
9/1/15,5,2015,9
10/1/15,5,2015,10
11/1/15,5.1,2015,11
12/1/15,5,2015,12
1/1/16,4.8,2016,1
2/1/16,4.9,2016,2
3/1/16,5,2016,3
4/1/16,5.1,2016,4
5/1/16,4.8,2016,5
6/1/16,4.9,2016,6
7/1/16,4.8,2016,7
8/1/16,4.9,2016,8
9/1/16,5,2016,9
10/1/16,4.9,2016,10
11/1/16,4.7,2016,11
12/1/16,4.7,2016,12
1/1/17,4.7,2017,1
2/1/17,4.6,2017,2
3/1/17,4.4,2017,3
4/1/17,4.4,2017,4
5/1/17,4.4,2017,5
6/1/17,4.3,2017,6
7/1/17,4.3,2017,7
8/1/17,4.4,2017,8
9/1/17,4.3,2017,9
10/1/17,4.2,2017,10
11/1/17,4.2,2017,11
12/1/17,4.1,2017,12
1/1/18,4,2018,1
2/1/18,4.1,2018,2
3/1/18,4,2018,3
4/1/18,4,2018,4
5/1/18,3.8,2018,5
6/1/18,4,2018,6
7/1/18,3.8,2018,7
8/1/18,3.8,2018,8
9/1/18,3.7,2018,9
10/1/18,3.8,2018,10
11/1/18,3.8,2018,11
12/1/18,3.9,2018,12
1/1/19,4,2019,1
2/1/19,3.8,2019,2
3/1/19,3.8,2019,3
4/1/19,3.6,2019,4
5/1/19,3.7,2019,5
6/1/19,3.6,2019,6
7/1/19,3.7,2019,7
8/1/19,3.7,2019,8
9/1/19,3.5,2019,9
10/1/19,3.6,2019,10
11/1/19,3.6,2019,11
12/1/19,3.6,2019,12
1/1/20,3.5,2020,1
2/1/20,3.5,2020,2
3/1/20,4.4,2020,3
4/1/20,14.7,2020,4
5/1/20,13.2,2020,5
6/1/20,11,2020,6
7/1/20,10.2,2020,7
8/1/20,8.4,2020,8
9/1/20,7.9,2020,9
10/1/20,6.9,2020,10
11/1/20,6.7,2020,11
12/1/20,6.7,2020,12
1/1/21,6.3,2021,1
2/1/21,6.2,2021,2
3/1/21,6.1,2021,3
4/1/21,6.1,2021,4
5/1/21,5.8,2021,5
6/1/21,5.9,2021,6
